task_id,mechanism_class,data_seed,strategy,selected_proposal_id,selected_source_labels,selected_formula,validation_rmse,locked_rmse,baseline_locked_rmse,normalized_locked_rmse,complexity,stability_violations,corrected_behavior_recovered,acquisitions_used,initial_gate_triggered,final_ambiguity_class,final_equivalent_candidate_count,final_equivalent_candidate_ids,final_normalized_maximum_pairwise_rmse,ambiguity_resolved_or_prediction_equivalent,further_active_query_indicated,recommended_query,stop_reason
XFER-CREEP-01,creep,4238863871,no_acquisition,portfolio_a4ead89773e2e88b,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh(tanh((x1 * (pysr_coefficient_2 ^ -1))))),0.0023669582818467635,0.012137141268467565,0.1889239218458167,0.0642435386153631,10,0,False,0,False,prediction_equivalent,3,"[""portfolio_a4ead89773e2e88b"", ""portfolio_01052061f1386447"", ""portfolio_816618dc98ee4701""]",1.0139469862651938,False,False,{},equivalent_candidates_predict_similarly
XFER-CREEP-01,creep,4238863871,conditional_space_filling,portfolio_a4ead89773e2e88b,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh(tanh((x1 * (pysr_coefficient_2 ^ -1))))),0.0023669582818467635,0.012137141268467565,0.1889239218458167,0.0642435386153631,10,0,False,0,False,prediction_equivalent,3,"[""portfolio_a4ead89773e2e88b"", ""portfolio_01052061f1386447"", ""portfolio_816618dc98ee4701""]",1.0139469862651938,False,False,{},equivalent_candidates_predict_similarly
XFER-CREEP-01,creep,4238863871,evidence_guided_predictive_disagreement,portfolio_a4ead89773e2e88b,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh(tanh((x1 * (pysr_coefficient_2 ^ -1))))),0.0023669582818467635,0.012137141268467565,0.1889239218458167,0.0642435386153631,10,0,False,0,False,prediction_equivalent,3,"[""portfolio_a4ead89773e2e88b"", ""portfolio_01052061f1386447"", ""portfolio_816618dc98ee4701""]",1.0139469862651938,False,False,{},equivalent_candidates_predict_similarly
XFER-PERM-01,permeability,4238863871,no_acquisition,portfolio_c33470178ed18183,pysr,M_base(x) + (sin(tanh(x1)) * pysr_coefficient_1),0.005910808076734373,0.021665339214655917,0.25642852662794685,0.08448880278476287,5,0,False,0,True,structurally_ambiguous,3,"[""portfolio_c33470178ed18183"", ""portfolio_ba9ed8c83aa25f70"", ""portfolio_cadd33f9059f56be""]",29.318422234921524,False,True,"{""x1"": 2.192354055728262}",maximum_active_budget_reached
XFER-PERM-01,permeability,4238863871,conditional_space_filling,portfolio_ed7508e8a47eec24,pysr,M_base(x) + (tanh(x1) * pysr_coefficient_1),0.006383781295270379,0.005478265239967664,0.25642852662794685,0.021363712189151642,4,0,True,3,True,structurally_ambiguous,3,"[""portfolio_ed7508e8a47eec24"", ""portfolio_67c9adc4944da3f3"", ""portfolio_c33470178ed18183""]",9.84547645861292,False,True,"{""x1"": 2.1910287964885042}",maximum_active_budget_reached
XFER-PERM-01,permeability,4238863871,evidence_guided_predictive_disagreement,portfolio_ed7508e8a47eec24,pysr,M_base(x) + (tanh(x1) * pysr_coefficient_1),0.006444629068095549,0.006139398159525091,0.25642852662794685,0.023941946866281254,4,0,True,3,True,structurally_ambiguous,3,"[""portfolio_ed7508e8a47eec24"", ""portfolio_ba9ed8c83aa25f70"", ""portfolio_c33470178ed18183""]",7.772886882905859,False,True,"{""x1"": 1.3507428594866775}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,4238863871,no_acquisition,portfolio_fb142e9bda3837d7,pysr,M_base(x) + ((x2 ^ 2.14369) * x1 * pysr_coefficient_1),0.0018175328787332758,0.009830425900911306,0.038056454126585794,0.258311661622828,6,0,False,0,True,structurally_ambiguous,3,"[""portfolio_fb142e9bda3837d7"", ""portfolio_8de036b1aaa8d552"", ""portfolio_93488e518fc34807""]",23.858878537382406,False,True,"{""x1"": 2.1648264248982914, ""x2"": 1.0630833245579456}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,4238863871,conditional_space_filling,portfolio_d398a7106d8f139d,semantic_llm,M_base(x) * (1 + (c4 * x1)),0.0023151346313379315,0.010195768531768725,0.038056454126585794,0.2679116792608926,5,0,False,3,True,prediction_equivalent,3,"[""portfolio_d398a7106d8f139d"", ""portfolio_0740b27fbf634982"", ""portfolio_ff4680c7e7c35ea8""]",0.6919139741451094,True,False,{},maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,4238863871,evidence_guided_predictive_disagreement,portfolio_d398a7106d8f139d,semantic_llm,M_base(x) * (1 + (c4 * x1)),0.0022999998887207047,0.010278279896744508,0.038056454126585794,0.2700798099201844,5,0,False,3,True,structurally_ambiguous,3,"[""portfolio_d398a7106d8f139d"", ""portfolio_3f7d31539d95ec0e"", ""portfolio_8de036b1aaa8d552""]",8.144421868223638,False,True,"{""x1"": 2.188303191071576, ""x2"": 0.5363429447278893}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,4238863871,no_acquisition,portfolio_01cc2b7dd260a24c,pysr,M_base(x) + (x1 * pysr_coefficient_1 * (x1 + (-1 * x2) + tanh(x2))),0.0075101063103499375,0.026923432369964476,0.20071870629447286,0.1341351429919308,10,0,False,0,True,prediction_equivalent,3,"[""portfolio_01cc2b7dd260a24c"", ""portfolio_d274851147e6eb72"", ""portfolio_d47f0f130ef38661""]",1.509244088780139,True,False,{},maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,4238863871,conditional_space_filling,portfolio_7efab1aa18cea4f3,pysr,M_base(x) + sin((((pysr_coefficient_1 * x1) + (x1 * tanh(((x2 + pysr_coefficient_2) * x2)) * (pysr_coefficient_3 ^ -1) * pysr_coefficient_4)) * tanh((x1 ^ 1.18962)))),0.007674910166583897,0.025903514353706154,0.20071870629447286,0.12905381283049577,22,0,False,1,True,identified_singleton,1,"[""portfolio_7efab1aa18cea4f3""]",0.0,True,False,{},insufficient_validation_equivalent_candidates
XFER-THERMAL-01,thermal_damage,4238863871,evidence_guided_predictive_disagreement,portfolio_01cc2b7dd260a24c,pysr,M_base(x) + (x1 * pysr_coefficient_1 * (x1 + (-1 * x2) + tanh(x2))),0.008595795148594187,0.030710923369739844,0.20071870629447286,0.15300478932284511,10,0,False,1,True,identified_singleton,1,"[""portfolio_01cc2b7dd260a24c""]",0.0,True,False,{},insufficient_validation_equivalent_candidates
XFER-CREEP-01,creep,813519892,no_acquisition,portfolio_45ed6b44e136cf16,semantic_llm,M_base(x) + (a * (x1 ^ n) * (x2 ^ m)),0.00608332981270688,0.062033598529670345,0.1888251729005767,0.32852398637724683,8,0,False,0,True,structurally_ambiguous,2,"[""portfolio_45ed6b44e136cf16"", ""portfolio_46f34cad72d50941""]",3.2085275924286103,False,True,"{""x1"": 1.881542492056292, ""x2"": 1.4827758903283619}",maximum_active_budget_reached
XFER-CREEP-01,creep,813519892,conditional_space_filling,portfolio_e11391c5cd0c36fa,pysr,M_base(x) + sin((x1 * exp((pysr_coefficient_1 * x1)) * x2 * pysr_coefficient_2)),0.00477065853339001,0.009444603728203873,0.1888251729005767,0.05001771523957136,9,0,False,1,True,prediction_equivalent,3,"[""portfolio_e11391c5cd0c36fa"", ""portfolio_aa6d7e091dd1836a"", ""portfolio_dfaf95726a69183f""]",0.6271308898541971,True,False,{},equivalent_candidates_predict_similarly
XFER-CREEP-01,creep,813519892,evidence_guided_predictive_disagreement,portfolio_e11391c5cd0c36fa,pysr,M_base(x) + sin((x1 * exp((pysr_coefficient_1 * x1)) * x2 * pysr_coefficient_2)),0.005810503848814359,0.0081347779369741,0.1888251729005767,0.04308100351247847,9,0,False,1,True,prediction_equivalent,3,"[""portfolio_e11391c5cd0c36fa"", ""portfolio_aa6d7e091dd1836a"", ""portfolio_dfaf95726a69183f""]",0.48839475008138217,True,False,{},equivalent_candidates_predict_similarly
XFER-PERM-01,permeability,813519892,no_acquisition,portfolio_e3463bef8b348c20,pysr,M_base(x) + (x1 * ((x1 + pysr_coefficient_1) ^ -1) * pysr_coefficient_2),0.006392326123444824,0.005054385023819325,0.2514234344818963,0.02010307843512998,8,0,True,0,True,prediction_equivalent,3,"[""portfolio_e3463bef8b348c20"", ""portfolio_500f433f2dc1b2af"", ""portfolio_5860ed79848d09cc""]",0.14241919479466095,True,False,{},maximum_active_budget_reached
XFER-PERM-01,permeability,813519892,conditional_space_filling,portfolio_e3463bef8b348c20,pysr,M_base(x) + (x1 * ((x1 + pysr_coefficient_1) ^ -1) * pysr_coefficient_2),0.006517210583054131,0.003640514908280427,0.2514234344818963,0.014479616491527013,8,0,True,3,True,prediction_equivalent,3,"[""portfolio_e3463bef8b348c20"", ""portfolio_3d47728f5a030b09"", ""portfolio_500f433f2dc1b2af""]",0.09009375714670012,True,False,{},maximum_active_budget_reached
XFER-PERM-01,permeability,813519892,evidence_guided_predictive_disagreement,portfolio_e3463bef8b348c20,pysr,M_base(x) + (x1 * ((x1 + pysr_coefficient_1) ^ -1) * pysr_coefficient_2),0.0066384815573493645,0.005267680017257892,0.2514234344818963,0.020951428128061746,8,0,True,3,True,prediction_equivalent,3,"[""portfolio_e3463bef8b348c20"", ""portfolio_3d47728f5a030b09"", ""portfolio_500f433f2dc1b2af""]",0.06393216409229666,True,False,{},maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,813519892,no_acquisition,portfolio_7e6342d9e2592afc,pysr,M_base(x) + (x2 * x1 * pysr_coefficient_1 * tanh(tanh(x1)) * x2),0.0015537434330110279,0.0032847935274284575,0.03462830158708397,0.09485863807578869,8,0,True,0,True,structurally_ambiguous,3,"[""portfolio_7e6342d9e2592afc"", ""portfolio_19e06372a4e7831e"", ""portfolio_50f6db65a511e23a""]",2.6412328377758016,False,True,"{""x1"": 2.122676097599575, ""x2"": 1.0804315626701464}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,813519892,conditional_space_filling,portfolio_7e6342d9e2592afc,pysr,M_base(x) + (x2 * x1 * pysr_coefficient_1 * tanh(tanh(x1)) * x2),0.0015069366273097672,0.0010856787488063764,0.03462830158708397,0.03135235339440743,8,0,True,1,True,prediction_equivalent,3,"[""portfolio_7e6342d9e2592afc"", ""portfolio_2c88ed4753249563"", ""portfolio_50f6db65a511e23a""]",0.3863662403676203,True,False,{},equivalent_candidates_predict_similarly
XFER-CYCLIC-01,cyclic_damage,813519892,evidence_guided_predictive_disagreement,portfolio_7e6342d9e2592afc,pysr,M_base(x) + (x2 * x1 * pysr_coefficient_1 * tanh(tanh(x1)) * x2),0.001507490863074235,0.0010916170455126338,0.03462830158708397,0.031523840196649916,8,0,True,1,True,prediction_equivalent,3,"[""portfolio_7e6342d9e2592afc"", ""portfolio_2c88ed4753249563"", ""portfolio_50f6db65a511e23a""]",0.38616645172028524,True,False,{},equivalent_candidates_predict_similarly
XFER-THERMAL-01,thermal_damage,813519892,no_acquisition,portfolio_1743b4b600ae8709,pysr,M_base(x) + (x1 * (((tanh(tanh((x2 ^ x2))) ^ x2) * pysr_coefficient_1) + (-1 * pysr_coefficient_2)) * x1),0.006224870725391973,0.01463227793003204,0.1909964450886735,0.07661021085098597,16,0,True,0,True,structurally_ambiguous,2,"[""portfolio_1743b4b600ae8709"", ""portfolio_1a896bd44e9af298""]",6.3454544345233375,False,True,"{""x1"": 1.3775816795888924, ""x2"": 0.6836766744156151}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,813519892,conditional_space_filling,portfolio_1743b4b600ae8709,pysr,M_base(x) + (x1 * (((tanh(tanh((x2 ^ x2))) ^ x2) * pysr_coefficient_1) + (-1 * pysr_coefficient_2)) * x1),0.00631021412105557,0.012025027769564166,0.1909964450886735,0.06295943238096045,16,0,True,3,True,structurally_ambiguous,2,"[""portfolio_1743b4b600ae8709"", ""portfolio_1a896bd44e9af298""]",4.705760373570834,False,True,"{""x1"": 1.3030344038464703, ""x2"": 0.015686661655204402}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,813519892,evidence_guided_predictive_disagreement,portfolio_1743b4b600ae8709,pysr,M_base(x) + (x1 * (((tanh(tanh((x2 ^ x2))) ^ x2) * pysr_coefficient_1) + (-1 * pysr_coefficient_2)) * x1),0.006127820535324859,0.017475532125753927,0.1909964450886735,0.09149663554020913,16,0,True,3,True,structurally_ambiguous,2,"[""portfolio_1743b4b600ae8709"", ""portfolio_1a896bd44e9af298""]",3.5884726931200186,False,True,"{""x1"": 1.3030344038464703, ""x2"": 0.015686661655204402}",maximum_active_budget_reached
XFER-CREEP-01,creep,2079297989,no_acquisition,portfolio_d51f2c797d697955,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh((x1 + x1 + pysr_coefficient_2))),0.0025416903272334652,0.01112482407857642,0.18845267614259126,0.05903245475887489,8,0,False,0,True,structurally_ambiguous,3,"[""portfolio_d51f2c797d697955"", ""portfolio_6f016a0c14f8a395"", ""portfolio_871fc56223920526""]",2.0944490634969597,False,True,"{""x1"": 1.9187765564364363, ""x2"": 1.4999770623339796}",maximum_active_budget_reached
XFER-CREEP-01,creep,2079297989,conditional_space_filling,portfolio_d51f2c797d697955,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh((x1 + x1 + pysr_coefficient_2))),0.00332151857919071,0.008528683322174954,0.18845267614259126,0.04525636619626347,8,0,False,3,True,prediction_equivalent,3,"[""portfolio_d51f2c797d697955"", ""portfolio_871fc56223920526"", ""portfolio_bc0b806937a88b87""]",1.9272228666141564,True,False,{},maximum_active_budget_reached
XFER-CREEP-01,creep,2079297989,evidence_guided_predictive_disagreement,portfolio_d51f2c797d697955,pysr,M_base(x) + (x2 * pysr_coefficient_1 * tanh((x1 + x1 + pysr_coefficient_2))),0.003521416962559085,0.008092954024588312,0.18845267614259126,0.04294422446123737,8,0,False,2,True,prediction_equivalent,3,"[""portfolio_d51f2c797d697955"", ""portfolio_871fc56223920526"", ""portfolio_bc0b806937a88b87""]",1.7980462492923395,True,False,{},equivalent_candidates_predict_similarly
XFER-PERM-01,permeability,2079297989,no_acquisition,portfolio_c33470178ed18183,pysr,M_base(x) + (sin(tanh(x1)) * pysr_coefficient_1),0.005779167427645894,0.022957056641030857,0.259520529015695,0.08845950155890167,5,0,False,0,True,structurally_ambiguous,3,"[""portfolio_c33470178ed18183"", ""portfolio_471f9c66b5870d68"", ""portfolio_852a841ffca37304""]",8.405721442966549,False,True,"{""x1"": 2.193224734726645}",maximum_active_budget_reached
XFER-PERM-01,permeability,2079297989,conditional_space_filling,portfolio_dc3761e1e5f05d78,semantic_llm,M_base(x) * exp(-((k * x1))),0.006401621869905389,0.041851103252172735,0.259520529015695,0.16126317024285083,5,0,False,3,True,structurally_ambiguous,3,"[""portfolio_dc3761e1e5f05d78"", ""portfolio_852a841ffca37304"", ""portfolio_dec881c2e9868ae5""]",8.06442942752582,False,True,"{""x1"": 2.1884597093114455}",maximum_active_budget_reached
XFER-PERM-01,permeability,2079297989,evidence_guided_predictive_disagreement,portfolio_852a841ffca37304,semantic_llm,M_base(x) * (1 / (1 + (b * x1))),0.005287590141916742,0.013765125250215707,0.259520529015695,0.05304060261600051,7,0,True,3,True,structurally_ambiguous,3,"[""portfolio_852a841ffca37304"", ""portfolio_1e3299a432d30fa4"", ""portfolio_a5d948db8d434ee9""]",3.433489428709256,False,True,"{""x1"": 2.171290876243392}",maximum_active_budget_reached
